C970  D0 05     BNE $C977                         A:FF X:00 Y:00 P:27 SP:FB CYC:607
C972  70 03     BVS $C977                         A:FF X:00 Y:00 P:27 SP:FB CYC:609
C974  4C 7B C9  JMP $C97B                         A:FF X:00 Y:00 P:27 SP:FB CYC:611
C97B  EA        NOP                               A:FF X:00 Y:00 P:27 SP:FB CYC:614
C97C  38        SEC                               A:FF X:00 Y:00 P:27 SP:FB CYC:616
C97D  B8        CLV                               A:FF X:00 Y:00 P:27 SP:FB CYC:618
C97E  A9 7F     LDA #$7F                          A:FF X:00 Y:00 P:27 SP:FB CYC:620
C980  69 80     ADC #$80                          A:7F X:00 Y:00 P:25 SP:FB CYC:622
C982  D0 09     BNE $C98D                         A:00 X:00 Y:00 P:27 SP:FB CYC:624
C984  30 07     BMI $C98D                         A:00 X:00 Y:00 P:27 SP:FB CYC:626
C986  70 05     BVS $C98D                         A:00 X:00 Y:00 P:27 SP:FB CYC:628
C988  90 03     BCC $C98D                         A:00 X:00 Y:00 P:27 SP:FB CYC:630
C98A  4C 91 C9  JMP $C991                         A:00 X:00 Y:00 P:27 SP:FB CYC:632
C991  EA        NOP                               A:00 X:00 Y:00 P:27 SP:FB CYC:635
C992  38        SEC                               A:00 X:00 Y:00 P:27 SP:FB CYC:637
C993  B8        CLV                               A:00 X:00 Y:00 P:27 SP:FB CYC:639
C994  A9 9F     LDA #$9F                          A:00 X:00 Y:00 P:27 SP:FB CYC:641
C996  F0 09     BEQ $C9A1                         A:9F X:00 Y:00 P:A5 SP:FB CYC:643
C998  10 07     BPL $C9A1                         A:9F X:00 Y:00 P:A5 SP:FB CYC:645
C99A  70 05     BVS $C9A1                         A:9F X:00 Y:00 P:A5 SP:FB CYC:647
C99C  90 03     BCC $C9A1                         A:9F X:00 Y:00 P:A5 SP:FB CYC:649
C99E  4C A5 C9  JMP $C9A5                         A:9F X:00 Y:00 P:A5 SP:FB CYC:651
C9A5  EA        NOP                               A:9F X:00 Y:00 P:A5 SP:FB CYC:654
C9A6  18        CLC                               A:9F X:00 Y:00 P:A5 SP:FB CYC:656
C9A7  24 01     BIT $01 = FF                      A:9F X:00 Y:00 P:A4 SP:FB CYC:658
C9A9  A9 00     LDA #$00                          A:9F X:00 Y:00 P:E4 SP:FB CYC:661
C9AB  D0 09     BNE $C9B6                         A:00 X:00 Y:00 P:66 SP:FB CYC:663
C9AD  30 07     BMI $C9B6                         A:00 X:00 Y:00 P:66 SP:FB CYC:665
C9AF  50 05     BVC $C9B6                         A:00 X:00 Y:00 P:66 SP:FB CYC:667
C9B1  B0 03     BCS $C9B6                         A:00 X:00 Y:00 P:66 SP:FB CYC:669
C9B3  4C BA C9  JMP $C9BA                         A:00 X:00 Y:00 P:66 SP:FB CYC:671
C9BA  EA        NOP                               A:00 X:00 Y:00 P:66 SP:FB CYC:674
C9BB  24 01     BIT $01 = FF                      A:00 X:00 Y:00 P:66 SP:FB CYC:676
C9BD  A9 40     LDA #$40                          A:00 X:00 Y:00 P:E6 SP:FB CYC:679
C9BF  C9 40     CMP #$40                          A:40 X:00 Y:00 P:64 SP:FB CYC:681
C9C1  30 09     BMI $C9CC                         A:40 X:00 Y:00 P:67 SP:FB CYC:683
C9C3  90 07     BCC $C9CC                         A:40 X:00 Y:00 P:67 SP:FB CYC:685
C9C5  D0 05     BNE $C9CC                         A:40 X:00 Y:00 P:67 SP:FB CYC:687
C9C7  50 03     BVC $C9CC                         A:40 X:00 Y:00 P:67 SP:FB CYC:689
C9C9  4C D0 C9  JMP $C9D0                         A:40 X:00 Y:00 P:67 SP:FB CYC:691
C9D0  EA        NOP                               A:40 X:00 Y:00 P:67 SP:FB CYC:694
C9D1  B8        CLV                               A:40 X:00 Y:00 P:67 SP:FB CYC:696
C9D2  C9 3F     CMP #$3F                          A:40 X:00 Y:00 P:27 SP:FB CYC:698
C9D4  F0 09     BEQ $C9DF                         A:40 X:00 Y:00 P:25 SP:FB CYC:700
C9D6  30 07     BMI $C9DF                         A:40 X:00 Y:00 P:25 SP:FB CYC:702
C9D8  90 05     BCC $C9DF                         A:40 X:00 Y:00 P:25 SP:FB CYC:704
C9DA  70 03     BVS $C9DF                         A:40 X:00 Y:00 P:25 SP:FB CYC:706
C9DC  4C E3 C9  JMP $C9E3                         A:40 X:00 Y:00 P:25 SP:FB CYC:708
C9E3  EA        NOP                               A:40 X:00 Y:00 P:25 SP:FB CYC:711
C9E4  C9 41     CMP #$41                          A:40 X:00 Y:00 P:25 SP:FB CYC:713
C9E6  F0 07     BEQ $C9EF                         A:40 X:00 Y:00 P:A4 SP:FB CYC:715
C9E8  10 05     BPL $C9EF                         A:40 X:00 Y:00 P:A4 SP:FB CYC:717
C9EA  10 03     BPL $C9EF                         A:40 X:00 Y:00 P:A4 SP:FB CYC:719
C9EC  4C F3 C9  JMP $C9F3                         A:40 X:00 Y:00 P:A4 SP:FB CYC:721
C9F3  EA        NOP                               A:40 X:00 Y:00 P:A4 SP:FB CYC:724
C9F4  A9 80     LDA #$80                          A:40 X:00 Y:00 P:A4 SP:FB CYC:726
C9F6  C9 00     CMP #$00                          A:80 X:00 Y:00 P:A4 SP:FB CYC:728
C9F8  F0 07     BEQ $CA01                         A:80 X:00 Y:00 P:A5 SP:FB CYC:730
